W-P,First Choice,Second Choice,Third Choice,Count,undervote,undervote*count,overvote,Total Irregularities,Duplicates,
4-Sep,RYB,FRA,EVE,1,0,0,,,,
8-Sep,RYB,FRA,EVE,1,0,0,,,,
5-Oct,RYB,FRA,EVE,1,0,0,,,,
8-Oct,RYB,FRA,EVE,1,0,0,,,,
10-Oct,RYB,FRA,EVE,1,0,0,,,,
2-Nov,RYB,FRA,EVE,1,0,0,,,,
4-Nov,RYB,FRA,EVE,1,0,0,,,,
7-Nov,RYB,FRA,EVE,1,0,0,,,,
8-Nov,RYB,FRA,EVE,2,0,0,,,,
5-Dec,RYB,FRA,EVE,1,0,0,,,,
6-Dec,RYB,FRA,EVE,1,0,0,,,,
13-04,RYB,FRA,EVE,1,0,0,,,,
13-05,RYB,FRA,EVE,1,0,0,,,,
13-09,RYB,FRA,EVE,1,0,0,,,,
3-Jan,RYB,FRA,FIS,1,0,0,,,,
5-Jan,RYB,FRA,FIS,1,0,0,,,,
8-Jan,RYB,FRA,FIS,2,0,0,,,,
9-Jan,RYB,FRA,FIS,1,0,0,,,,
10-Jan,RYB,FRA,FIS,2,0,0,,,,
1-Feb,RYB,FRA,FIS,1,0,0,,,,
2-Feb,RYB,FRA,FIS,1,0,0,,,,
3-Feb,RYB,FRA,FIS,1,0,0,,,,
7-Feb,RYB,FRA,FIS,1,0,0,,,,
9-Feb,RYB,FRA,FIS,2,0,0,,,,
3-Mar,RYB,FRA,FIS,5,0,0,,,,
4-Mar,RYB,FRA,FIS,1,0,0,,,,
5-Mar,RYB,FRA,FIS,1,0,0,,,,
6-Mar,RYB,FRA,FIS,1,0,0,,,,
7-Mar,RYB,FRA,FIS,2,0,0,,,,
2-Apr,RYB,FRA,FIS,1,0,0,,,,
4-Apr,RYB,FRA,FIS,1,0,0,,,,
5-Apr,RYB,FRA,FIS,1,0,0,,,,
6-Apr,RYB,FRA,FIS,3,0,0,,,,
9-Apr,RYB,FRA,FIS,2,0,0,,,,
1-May,RYB,FRA,FIS,3,0,0,,,,
3-May,RYB,FRA,FIS,1,0,0,,,,
8-May,RYB,FRA,FIS,1,0,0,,,,
2-Jun,RYB,FRA,FIS,1,0,0,,,,
3-Jun,RYB,FRA,FIS,4,0,0,,,,
4-Jun,RYB,FRA,FIS,1,0,0,,,,
8-Jun,RYB,FRA,FIS,1,0,0,,,,
1-Jul,RYB,FRA,FIS,3,0,0,,,,
2-Jul,RYB,FRA,FIS,1,0,0,,,,
5-Jul,RYB,FRA,FIS,1,0,0,,,,
6-Jul,RYB,FRA,FIS,1,0,0,,,,
7-Jul,RYB,FRA,FIS,2,0,0,,,,
8-Jul,RYB,FRA,FIS,3,0,0,,,,
1-Aug,RYB,FRA,FIS,1,0,0,,,,
2-Aug,RYB,FRA,FIS,2,0,0,,,,
6-Aug,RYB,FRA,FIS,3,0,0,,,,
7-Aug,RYB,FRA,FIS,1,0,0,,,,
8-Aug,RYB,FRA,FIS,3,0,0,,,,
9-Aug,RYB,FRA,FIS,1,0,0,,,,
10-Aug,RYB,FRA,FIS,2,0,0,,,,
6-Sep,RYB,FRA,FIS,1,0,0,,,,
7-Sep,RYB,FRA,FIS,1,0,0,,,,
8-Sep,RYB,FRA,FIS,1,0,0,,,,
9-Sep,RYB,FRA,FIS,2,0,0,,,,
10-Sep,RYB,FRA,FIS,1,0,0,,,,
1-Oct,RYB,FRA,FIS,2,0,0,,,,
4-Oct,RYB,FRA,FIS,1,0,0,,,,
5-Oct,RYB,FRA,FIS,3,0,0,,,,
6-Oct,RYB,FRA,FIS,1,0,0,,,,
7-Oct,RYB,FRA,FIS,2,0,0,,,,
8-Oct,RYB,FRA,FIS,1,0,0,,,,
10-Oct,RYB,FRA,FIS,1,0,0,,,,
5-Nov,RYB,FRA,FIS,2,0,0,,,,
6-Nov,RYB,FRA,FIS,3,0,0,,,,
8-Nov,RYB,FRA,FIS,1,0,0,,,,
8-Nov,RYB,FRA,FIS,3,0,0,,,,
9-Nov,RYB,FRA,FIS,1,0,0,,,,
1-Dec,RYB,FRA,FIS,1,0,0,,,,
2-Dec,RYB,FRA,FIS,1,0,0,,,,
3-Dec,RYB,FRA,FIS,1,0,0,,,,
4-Dec,RYB,FRA,FIS,1,0,0,,,,
5-Dec,RYB,FRA,FIS,1,0,0,,,,
6-Dec,RYB,FRA,FIS,1,0,0,,,,
8-Dec,RYB,FRA,FIS,2,0,0,,,,
9-Dec,RYB,FRA,FIS,2,0,0,,,,
13-02,RYB,FRA,FIS,2,0,0,,,,
13-04,RYB,FRA,FIS,4,0,0,,,,
13-05,RYB,FRA,FIS,2,0,0,,,,
13-06,RYB,FRA,FIS,4,0,0,,,,
13-07,RYB,FRA,FIS,2,0,0,,,,
13-08,RYB,FRA,FIS,2,0,0,,,,
13-09,RYB,FRA,FIS,1,0,0,,,,
13-09,RYB,FRA,FIS,2,0,0,,,,
13-10,RYB,FRA,FIS,2,0,0,,,,
1-Jan,RYB,FRA,FLO,11,0,0,,,,
2-Jan,RYB,FRA,FLO,26,0,0,,,,
3-Jan,RYB,FRA,FLO,29,0,0,,,,
4-Jan,RYB,FRA,FLO,29,0,0,,,,
5-Jan,RYB,FRA,FLO,14,0,0,,,,
6-Jan,RYB,FRA,FLO,27,0,0,,,,
7-Jan,RYB,FRA,FLO,9,0,0,,,,
8-Jan,RYB,FRA,FLO,13,0,0,,,,
9-Jan,RYB,FRA,FLO,13,0,0,,,,
10-Jan,RYB,FRA,FLO,9,0,0,,,,
1-Feb,RYB,FRA,FLO,7,0,0,,,,
2-Feb,RYB,FRA,FLO,21,0,0,,,,
3-Feb,RYB,FRA,FLO,7,0,0,,,,
4-Feb,RYB,FRA,FLO,1,0,0,,,,
5-Feb,RYB,FRA,FLO,7,0,0,,,,
6-Feb,RYB,FRA,FLO,8,0,0,,,,
7-Feb,RYB,FRA,FLO,8,0,0,,,,
8-Feb,RYB,FRA,FLO,5,0,0,,,,
9-Feb,RYB,FRA,FLO,4,0,0,,,,
10-Feb,RYB,FRA,FLO,6,0,0,,,,
11-Feb,RYB,FRA,FLO,2,0,0,,,,
1-Mar,RYB,FRA,FLO,2,0,0,,,,
2-Mar,RYB,FRA,FLO,6,0,0,,,,
3-Mar,RYB,FRA,FLO,19,0,0,,,,
4-Mar,RYB,FRA,FLO,15,0,0,,,,
5-Mar,RYB,FRA,FLO,8,0,0,,,,
6-Mar,RYB,FRA,FLO,17,0,0,,,,
7-Mar,RYB,FRA,FLO,12,0,0,,,,
8-Mar,RYB,FRA,FLO,5,0,0,,,,
9-Mar,RYB,FRA,FLO,5,0,0,,,,
1-Apr,RYB,FRA,FLO,10,0,0,,,,
2-Apr,RYB,FRA,FLO,10,0,0,,,,
3-Apr,RYB,FRA,FLO,11,0,0,,,,
4-Apr,RYB,FRA,FLO,18,0,0,,,,
5-Apr,RYB,FRA,FLO,7,0,0,,,,
6-Apr,RYB,FRA,FLO,7,0,0,,,,
7-Apr,RYB,FRA,FLO,6,0,0,,,,
8-Apr,RYB,FRA,FLO,19,0,0,,,,
9-Apr,RYB,FRA,FLO,9,0,0,,,,
10-Apr,RYB,FRA,FLO,5,0,0,,,,
1-May,RYB,FRA,FLO,8,0,0,,,,
2-May,RYB,FRA,FLO,1,0,0,,,,
3-May,RYB,FRA,FLO,7,0,0,,,,
4-May,RYB,FRA,FLO,10,0,0,,,,
5-May,RYB,FRA,FLO,10,0,0,,,,
6-May,RYB,FRA,FLO,5,0,0,,,,
8-May,RYB,FRA,FLO,2,0,0,,,,
10-May,RYB,FRA,FLO,1,0,0,,,,
10-May,RYB,FRA,FLO,2,0,0,,,,
1-Jun,RYB,FRA,FLO,1,0,0,,,,
2-Jun,RYB,FRA,FLO,21,0,0,,,,
3-Jun,RYB,FRA,FLO,16,0,0,,,,
4-Jun,RYB,FRA,FLO,17,0,0,,,,
5-Jun,RYB,FRA,FLO,5,0,0,,,,
6-Jun,RYB,FRA,FLO,5,0,0,,,,
7-Jun,RYB,FRA,FLO,5,0,0,,,,
8-Jun,RYB,FRA,FLO,10,0,0,,,,
1-Jul,RYB,FRA,FLO,17,0,0,,,,
2-Jul,RYB,FRA,FLO,8,0,0,,,,
3-Jul,RYB,FRA,FLO,22,0,0,,,,
4-Jul,RYB,FRA,FLO,7,0,0,,,,
5-Jul,RYB,FRA,FLO,8,0,0,,,,
6-Jul,RYB,FRA,FLO,9,0,0,,,,
7-Jul,RYB,FRA,FLO,12,0,0,,,,
8-Jul,RYB,FRA,FLO,15,0,0,,,,
9-Jul,RYB,FRA,FLO,7,0,0,,,,
10-Jul,RYB,FRA,FLO,10,0,0,,,,
11-Jul,RYB,FRA,FLO,8,0,0,,,,
1-Aug,RYB,FRA,FLO,2,0,0,,,,
2-Aug,RYB,FRA,FLO,8,0,0,,,,
3-Aug,RYB,FRA,FLO,1,0,0,,,,
4-Aug,RYB,FRA,FLO,7,0,0,,,,
5-Aug,RYB,FRA,FLO,10,0,0,,,,
6-Aug,RYB,FRA,FLO,9,0,0,,,,
7-Aug,RYB,FRA,FLO,19,0,0,,,,
8-Aug,RYB,FRA,FLO,30,0,0,,,,
9-Aug,RYB,FRA,FLO,11,0,0,,,,
10-Aug,RYB,FRA,FLO,25,0,0,,,,
1-Sep,RYB,FRA,FLO,5,0,0,,,,
2-Sep,RYB,FRA,FLO,13,0,0,,,,
3-Sep,RYB,FRA,FLO,3,0,0,,,,
4-Sep,RYB,FRA,FLO,10,0,0,,,,
5-Sep,RYB,FRA,FLO,3,0,0,,,,
6-Sep,RYB,FRA,FLO,12,0,0,,,,
7-Sep,RYB,FRA,FLO,8,0,0,,,,
8-Sep,RYB,FRA,FLO,19,0,0,,,,
9-Sep,RYB,FRA,FLO,11,0,0,,,,
10-Sep,RYB,FRA,FLO,3,0,0,,,,
11-Sep,RYB,FRA,FLO,22,0,0,,,,
1-Oct,RYB,FRA,FLO,18,0,0,,,,
2-Oct,RYB,FRA,FLO,9,0,0,,,,
3-Oct,RYB,FRA,FLO,15,0,0,,,,
4-Oct,RYB,FRA,FLO,9,0,0,,,,
5-Oct,RYB,FRA,FLO,6,0,0,,,,
6-Oct,RYB,FRA,FLO,12,0,0,,,,
7-Oct,RYB,FRA,FLO,6,0,0,,,,
8-Oct,RYB,FRA,FLO,13,0,0,,,,
9-Oct,RYB,FRA,FLO,14,0,0,,,,
10-Oct,RYB,FRA,FLO,18,0,0,,,,
11-Oct,RYB,FRA,FLO,8,0,0,,,,
1-Nov,RYB,FRA,FLO,29,0,0,,,,
2-Nov,RYB,FRA,FLO,16,0,0,,,,
3-Nov,RYB,FRA,FLO,12,0,0,,,,
4-Nov,RYB,FRA,FLO,12,0,0,,,,
5-Nov,RYB,FRA,FLO,18,0,0,,,,
6-Nov,RYB,FRA,FLO,27,0,0,,,,
7-Nov,RYB,FRA,FLO,38,0,0,,,,
8-Nov,RYB,FRA,FLO,29,0,0,,,,
9-Nov,RYB,FRA,FLO,18,0,0,,,,
1-Dec,RYB,FRA,FLO,16,0,0,,,,
2-Dec,RYB,FRA,FLO,18,0,0,,,,
3-Dec,RYB,FRA,FLO,21,0,0,,,,
4-Dec,RYB,FRA,FLO,16,0,0,,,,
5-Dec,RYB,FRA,FLO,16,0,0,,,,
6-Dec,RYB,FRA,FLO,30,0,0,,,,
7-Dec,RYB,FRA,FLO,2,0,0,,,,
8-Dec,RYB,FRA,FLO,28,0,0,,,,
9-Dec,RYB,FRA,FLO,15,0,0,,,,
10-Dec,RYB,FRA,FLO,11,0,0,,,,
11-Dec,RYB,FRA,FLO,1,0,0,,,,
11-Dec,RYB,FRA,FLO,16,0,0,,,,
13-01,RYB,FRA,FLO,12,0,0,,,,
13-02,RYB,FRA,FLO,21,0,0,,,,
13-03,RYB,FRA,FLO,10,0,0,,,,
13-04,RYB,FRA,FLO,1,0,0,,,,
13-04,RYB,FRA,FLO,3,0,0,,,,
13-04,RYB,FRA,FLO,19,0,0,,,,
13-05,RYB,FRA,FLO,26,0,0,,,,
13-06,RYB,FRA,FLO,33,0,0,,,,
13-07,RYB,FRA,FLO,7,0,0,,,,
13-08,RYB,FRA,FLO,16,0,0,,,,
13-09,RYB,FRA,FLO,8,0,0,,,,
13-09,RYB,FRA,FLO,13,0,0,,,,
13-10,RYB,FRA,FLO,24,0,0,,,,
1-Dec,RYB,FRA,GARY HARTKE,1,0,0,,,,
1-May,RYB,FRA,JASON BLUMENTHAL,1,0,0,,,,
6-Dec,RYB,FRA,JOHN A. KELLY,1,0,0,,,,
1-Jan,RYB,FRA,KOL,2,0,0,,,,
2-Jan,RYB,FRA,KOL,3,0,0,,,,
3-Jan,RYB,FRA,KOL,3,0,0,,,,
4-Jan,RYB,FRA,KOL,1,0,0,,,,
5-Jan,RYB,FRA,KOL,5,0,0,,,,
6-Jan,RYB,FRA,KOL,1,0,0,,,,
7-Jan,RYB,FRA,KOL,1,0,0,,,,
8-Jan,RYB,FRA,KOL,6,0,0,,,,
9-Jan,RYB,FRA,KOL,3,0,0,,,,
10-Jan,RYB,FRA,KOL,3,0,0,,,,
1-Feb,RYB,FRA,KOL,2,0,0,,,,
2-Feb,RYB,FRA,KOL,11,0,0,,,,
3-Feb,RYB,FRA,KOL,1,0,0,,,,
5-Feb,RYB,FRA,KOL,7,0,0,,,,
6-Feb,RYB,FRA,KOL,1,0,0,,,,
9-Feb,RYB,FRA,KOL,1,0,0,,,,
10-Feb,RYB,FRA,KOL,1,0,0,,,,
3-Mar,RYB,FRA,KOL,1,0,0,,,,
4-Mar,RYB,FRA,KOL,5,0,0,,,,
5-Mar,RYB,FRA,KOL,1,0,0,,,,
6-Mar,RYB,FRA,KOL,3,0,0,,,,
7-Mar,RYB,FRA,KOL,2,0,0,,,,
1-Apr,RYB,FRA,KOL,2,0,0,,,,
2-Apr,RYB,FRA,KOL,6,0,0,,,,
4-Apr,RYB,FRA,KOL,2,0,0,,,,
6-Apr,RYB,FRA,KOL,2,0,0,,,,
7-Apr,RYB,FRA,KOL,3,0,0,,,,
8-Apr,RYB,FRA,KOL,3,0,0,,,,
1-May,RYB,FRA,KOL,2,0,0,,,,
2-May,RYB,FRA,KOL,1,0,0,,,,
4-May,RYB,FRA,KOL,1,0,0,,,,
5-May,RYB,FRA,KOL,1,0,0,,,,
1-Jun,RYB,FRA,KOL,1,0,0,,,,
2-Jun,RYB,FRA,KOL,2,0,0,,,,
3-Jun,RYB,FRA,KOL,2,0,0,,,,
4-Jun,RYB,FRA,KOL,2,0,0,,,,
8-Jun,RYB,FRA,KOL,1,0,0,,,,
1-Jul,RYB,FRA,KOL,4,0,0,,,,
2-Jul,RYB,FRA,KOL,1,0,0,,,,
3-Jul,RYB,FRA,KOL,3,0,0,,,,
4-Jul,RYB,FRA,KOL,3,0,0,,,,
5-Jul,RYB,FRA,KOL,1,0,0,,,,
6-Jul,RYB,FRA,KOL,1,0,0,,,,
7-Jul,RYB,FRA,KOL,1,0,0,,,,
8-Jul,RYB,FRA,KOL,3,0,0,,,,
9-Jul,RYB,FRA,KOL,3,0,0,,,,
11-Jul,RYB,FRA,KOL,2,0,0,,,,
1-Aug,RYB,FRA,KOL,2,0,0,,,,
2-Aug,RYB,FRA,KOL,3,0,0,,,,
3-Aug,RYB,FRA,KOL,1,0,0,,,,
4-Aug,RYB,FRA,KOL,1,0,0,,,,
5-Aug,RYB,FRA,KOL,2,0,0,,,,
6-Aug,RYB,FRA,KOL,4,0,0,,,,
7-Aug,RYB,FRA,KOL,4,0,0,,,,
8-Aug,RYB,FRA,KOL,4,0,0,,,,
9-Aug,RYB,FRA,KOL,2,0,0,,,,
10-Aug,RYB,FRA,KOL,5,0,0,,,,
1-Sep,RYB,FRA,KOL,1,0,0,,,,
2-Sep,RYB,FRA,KOL,4,0,0,,,,
4-Sep,RYB,FRA,KOL,1,0,0,,,,
6-Sep,RYB,FRA,KOL,3,0,0,,,,
7-Sep,RYB,FRA,KOL,2,0,0,,,,
8-Sep,RYB,FRA,KOL,2,0,0,,,,
9-Sep,RYB,FRA,KOL,4,0,0,,,,
10-Sep,RYB,FRA,KOL,1,0,0,,,,
1-Oct,RYB,FRA,KOL,4,0,0,,,,
2-Oct,RYB,FRA,KOL,3,0,0,,,,
3-Oct,RYB,FRA,KOL,2,0,0,,,,
4-Oct,RYB,FRA,KOL,2,0,0,,,,
7-Oct,RYB,FRA,KOL,1,0,0,,,,
8-Oct,RYB,FRA,KOL,2,0,0,,,,
9-Oct,RYB,FRA,KOL,3,0,0,,,,
10-Oct,RYB,FRA,KOL,1,0,0,,,,
11-Oct,RYB,FRA,KOL,2,0,0,,,,
1-Nov,RYB,FRA,KOL,6,0,0,,,,
2-Nov,RYB,FRA,KOL,2,0,0,,,,
3-Nov,RYB,FRA,KOL,3,0,0,,,,
4-Nov,RYB,FRA,KOL,3,0,0,,,,
5-Nov,RYB,FRA,KOL,5,0,0,,,,
6-Nov,RYB,FRA,KOL,4,0,0,,,,
7-Nov,RYB,FRA,KOL,6,0,0,,,,
8-Nov,RYB,FRA,KOL,2,0,0,,,,
9-Nov,RYB,FRA,KOL,3,0,0,,,,
1-Dec,RYB,FRA,KOL,2,0,0,,,,
2-Dec,RYB,FRA,KOL,4,0,0,,,,
3-Dec,RYB,FRA,KOL,2,0,0,,,,
5-Dec,RYB,FRA,KOL,6,0,0,,,,
6-Dec,RYB,FRA,KOL,3,0,0,,,,
8-Dec,RYB,FRA,KOL,4,0,0,,,,
9-Dec,RYB,FRA,KOL,2,0,0,,,,
10-Dec,RYB,FRA,KOL,2,0,0,,,,
11-Dec,RYB,FRA,KOL,6,0,0,,,,
13-01,RYB,FRA,KOL,1,0,0,,,,
13-02,RYB,FRA,KOL,5,0,0,,,,
13-03,RYB,FRA,KOL,2,0,0,,,,
13-04,RYB,FRA,KOL,3,0,0,,,,
13-05,RYB,FRA,KOL,7,0,0,,,,
13-06,RYB,FRA,KOL,8,0,0,,,,
13-08,RYB,FRA,KOL,1,0,0,,,,
13-09,RYB,FRA,KOL,2,0,0,,,,
13-09,RYB,FRA,KOL,3,0,0,,,,
13-10,RYB,FRA,KOL,1,0,0,,,,
2-Jan,RYB,FRA,LOM,2,0,0,,,,
3-Jan,RYB,FRA,LOM,2,0,0,,,,
4-Jan,RYB,FRA,LOM,2,0,0,,,,
5-Jan,RYB,FRA,LOM,4,0,0,,,,
8-Jan,RYB,FRA,LOM,2,0,0,,,,
9-Jan,RYB,FRA,LOM,2,0,0,,,,
1-Feb,RYB,FRA,LOM,1,0,0,,,,
2-Feb,RYB,FRA,LOM,1,0,0,,,,
3-Feb,RYB,FRA,LOM,1,0,0,,,,
4-Feb,RYB,FRA,LOM,2,0,0,,,,
5-Feb,RYB,FRA,LOM,2,0,0,,,,
8-Feb,RYB,FRA,LOM,1,0,0,,,,
1-Mar,RYB,FRA,LOM,1,0,0,,,,
3-Mar,RYB,FRA,LOM,1,0,0,,,,
4-Mar,RYB,FRA,LOM,1,0,0,,,,
6-Mar,RYB,FRA,LOM,2,0,0,,,,
7-Mar,RYB,FRA,LOM,2,0,0,,,,
1-Apr,RYB,FRA,LOM,1,0,0,,,,
2-Apr,RYB,FRA,LOM,1,0,0,,,,
3-Apr,RYB,FRA,LOM,2,0,0,,,,
4-Apr,RYB,FRA,LOM,1,0,0,,,,
5-Apr,RYB,FRA,LOM,1,0,0,,,,
6-Apr,RYB,FRA,LOM,2,0,0,,,,
7-Apr,RYB,FRA,LOM,1,0,0,,,,
8-Apr,RYB,FRA,LOM,1,0,0,,,,
9-Apr,RYB,FRA,LOM,1,0,0,,,,
10-Apr,RYB,FRA,LOM,1,0,0,,,,
1-May,RYB,FRA,LOM,3,0,0,,,,
3-May,RYB,FRA,LOM,1,0,0,,,,
4-May,RYB,FRA,LOM,1,0,0,,,,
6-May,RYB,FRA,LOM,3,0,0,,,,
7-May,RYB,FRA,LOM,1,0,0,,,,
9-May,RYB,FRA,LOM,1,0,0,,,,
10-May,RYB,FRA,LOM,1,0,0,,,,
1-Jun,RYB,FRA,LOM,1,0,0,,,,
2-Jun,RYB,FRA,LOM,3,0,0,,,,
3-Jun,RYB,FRA,LOM,1,0,0,,,,
4-Jun,RYB,FRA,LOM,1,0,0,,,,
8-Jun,RYB,FRA,LOM,1,0,0,,,,
2-Jul,RYB,FRA,LOM,2,0,0,,,,
3-Jul,RYB,FRA,LOM,1,0,0,,,,
4-Jul,RYB,FRA,LOM,1,0,0,,,,
5-Jul,RYB,FRA,LOM,1,0,0,,,,
6-Jul,RYB,FRA,LOM,1,0,0,,,,
7-Jul,RYB,FRA,LOM,3,0,0,,,,
10-Jul,RYB,FRA,LOM,1,0,0,,,,
11-Jul,RYB,FRA,LOM,1,0,0,,,,
2-Aug,RYB,FRA,LOM,2,0,0,,,,
3-Aug,RYB,FRA,LOM,1,0,0,,,,
4-Aug,RYB,FRA,LOM,1,0,0,,,,
5-Aug,RYB,FRA,LOM,1,0,0,,,,
6-Aug,RYB,FRA,LOM,1,0,0,,,,
7-Aug,RYB,FRA,LOM,2,0,0,,,,
8-Aug,RYB,FRA,LOM,1,0,0,,,,
10-Aug,RYB,FRA,LOM,2,0,0,,,,
4-Sep,RYB,FRA,LOM,1,0,0,,,,
5-Sep,RYB,FRA,LOM,1,0,0,,,,
6-Sep,RYB,FRA,LOM,2,0,0,,,,
8-Sep,RYB,FRA,LOM,1,0,0,,,,
9-Sep,RYB,FRA,LOM,2,0,0,,,,
10-Sep,RYB,FRA,LOM,1,0,0,,,,
1-Oct,RYB,FRA,LOM,3,0,0,,,,
2-Oct,RYB,FRA,LOM,1,0,0,,,,
3-Oct,RYB,FRA,LOM,2,0,0,,,,
6-Oct,RYB,FRA,LOM,1,0,0,,,,
9-Oct,RYB,FRA,LOM,1,0,0,,,,
10-Oct,RYB,FRA,LOM,2,0,0,,,,
1-Nov,RYB,FRA,LOM,4,0,0,,,,
3-Nov,RYB,FRA,LOM,2,0,0,,,,
4-Nov,RYB,FRA,LOM,1,0,0,,,,
5-Nov,RYB,FRA,LOM,5,0,0,,,,
6-Nov,RYB,FRA,LOM,4,0,0,,,,
7-Nov,RYB,FRA,LOM,3,0,0,,,,
8-Nov,RYB,FRA,LOM,8,0,0,,,,
9-Nov,RYB,FRA,LOM,1,0,0,,,,
1-Dec,RYB,FRA,LOM,1,0,0,,,,
2-Dec,RYB,FRA,LOM,4,0,0,,,,
3-Dec,RYB,FRA,LOM,2,0,0,,,,
4-Dec,RYB,FRA,LOM,3,0,0,,,,
5-Dec,RYB,FRA,LOM,1,0,0,,,,
6-Dec,RYB,FRA,LOM,1,0,0,,,,
9-Dec,RYB,FRA,LOM,1,0,0,,,,
10-Dec,RYB,FRA,LOM,1,0,0,,,,
11-Dec,RYB,FRA,LOM,5,0,0,,,,
13-02,RYB,FRA,LOM,2,0,0,,,,
13-03,RYB,FRA,LOM,3,0,0,,,,
13-04,RYB,FRA,LOM,1,0,0,,,,
13-05,RYB,FRA,LOM,6,0,0,,,,
13-06,RYB,FRA,LOM,1,0,0,,,,
13-07,RYB,FRA,LOM,2,0,0,,,,
13-09,RYB,FRA,LOM,1,0,0,,,,
13-10,RYB,FRA,LOM,1,0,0,,,,
10-Jan,RYB,FRA,MARTIN SCHIRBER,1,0,0,,,,
1-Nov,RYB,FRA,MATT TALBERG,1,0,0,,,,
1-Jan,RYB,FRA,MCG,1,0,0,,,,
2-Jan,RYB,FRA,MCG,2,0,0,,,,
6-Jan,RYB,FRA,MCG,1,0,0,,,,
2-Feb,RYB,FRA,MCG,1,0,0,,,,
5-Mar,RYB,FRA,MCG,1,0,0,,,,
7-Mar,RYB,FRA,MCG,2,0,0,,,,
4-Apr,RYB,FRA,MCG,1,0,0,,,,
1-May,RYB,FRA,MCG,2,0,0,,,,
6-May,RYB,FRA,MCG,1,0,0,,,,
7-Jun,RYB,FRA,MCG,1,0,0,,,,
1-Jul,RYB,FRA,MCG,1,0,0,,,,
3-Jul,RYB,FRA,MCG,1,0,0,,,,
6-Jul,RYB,FRA,MCG,1,0,0,,,,
1-Aug,RYB,FRA,MCG,1,0,0,,,,
6-Aug,RYB,FRA,MCG,1,0,0,,,,
8-Aug,RYB,FRA,MCG,1,0,0,,,,
10-Aug,RYB,FRA,MCG,1,0,0,,,,
2-Sep,RYB,FRA,MCG,1,0,0,,,,
8-Sep,RYB,FRA,MCG,1,0,0,,,,
2-Oct,RYB,FRA,MCG,1,0,0,,,,
3-Oct,RYB,FRA,MCG,1,0,0,,,,
10-Oct,RYB,FRA,MCG,1,0,0,,,,
1-Nov,RYB,FRA,MCG,2,0,0,,,,
6-Dec,RYB,FRA,MCG,1,0,0,,,,
9-Dec,RYB,FRA,MCG,1,0,0,,,,
10-Dec,RYB,FRA,MCG,1,0,0,,,,
13-03,RYB,FRA,MCG,1,0,0,,,,
13-05,RYB,FRA,MCG,1,0,0,,,,
13-08,RYB,FRA,MCG,1,0,0,,,,
13-09,RYB,FRA,MCG,1,0,0,,,,
10-Jul,RYB,FRA,MIKE BRANDT,1,0,0,,,,
9-Mar,RYB,FRA,MYSELF,1,0,0,,,,
5-Dec,RYB,FRA,PETER J. JOHNSON,1,0,0,,,,
11-Dec,RYB,FRA,REBECCA ERICKSON RAMGREN,1,0,0,,,,
6-Mar,RYB,FRA,TOM,1,0,0,,,,
2-Jan,RYB,FRA,WIL,1,0,0,,,,
3-May,RYB,FRA,WIL,1,0,0,,,,
2-Jun,RYB,FRA,WIL,1,0,0,,,,
6-Jul,RYB,FRA,WIL,1,0,0,,,,
7-Sep,RYB,FRA,WIL,1,0,0,,,,
8-Sep,RYB,FRA,WIL,1,0,0,,,,
8-Oct,RYB,FRA,WIL,1,0,0,,,,
1-Jan,RYB,FRA,XXX,3,1,3,,,,
2-Jan,RYB,FRA,XXX,14,1,14,,,,
3-Jan,RYB,FRA,XXX,11,1,11,,,,
3-Jan,RYB,FRA,XXX,12,1,12,,,,
4-Jan,RYB,FRA,XXX,19,1,19,,,,
5-Jan,RYB,FRA,XXX,16,1,16,,,,
6-Jan,RYB,FRA,XXX,10,1,10,,,,
7-Jan,RYB,FRA,XXX,1,1,1,,,,
8-Jan,RYB,FRA,XXX,6,1,6,,,,
9-Jan,RYB,FRA,XXX,3,1,3,,,,
10-Jan,RYB,FRA,XXX,5,1,5,,,,
1-Feb,RYB,FRA,XXX,5,1,5,,,,
2-Feb,RYB,FRA,XXX,9,1,9,,,,
3-Feb,RYB,FRA,XXX,6,1,6,,,,
4-Feb,RYB,FRA,XXX,1,1,1,,,,
5-Feb,RYB,FRA,XXX,4,1,4,,,,
6-Feb,RYB,FRA,XXX,7,1,7,,,,
7-Feb,RYB,FRA,XXX,2,1,2,,,,
8-Feb,RYB,FRA,XXX,1,1,1,,,,
9-Feb,RYB,FRA,XXX,14,1,14,,,,
10-Feb,RYB,FRA,XXX,1,1,1,,,,
1-Mar,RYB,FRA,XXX,1,1,1,,,,
2-Mar,RYB,FRA,XXX,6,1,6,,,,
3-Mar,RYB,FRA,XXX,13,1,13,,,,
4-Mar,RYB,FRA,XXX,4,1,4,,,,
5-Mar,RYB,FRA,XXX,10,1,10,,,,
6-Mar,RYB,FRA,XXX,7,1,7,,,,
7-Mar,RYB,FRA,XXX,4,1,4,,,,
8-Mar,RYB,FRA,XXX,2,1,2,,,,
9-Mar,RYB,FRA,XXX,1,1,1,,,,
1-Apr,RYB,FRA,XXX,8,1,8,,,,
2-Apr,RYB,FRA,XXX,5,1,5,,,,
3-Apr,RYB,FRA,XXX,10,1,10,,,,
4-Apr,RYB,FRA,XXX,15,1,15,,,,
5-Apr,RYB,FRA,XXX,12,1,12,,,,
6-Apr,RYB,FRA,XXX,11,1,11,,,,
7-Apr,RYB,FRA,XXX,4,1,4,,,,
8-Apr,RYB,FRA,XXX,6,1,6,,,,
